["Company", "Bean Origin or Bar Name", "REF", "Review Date", "Cocoa Percent", "Company Location", "Rating", "Bean Type", "Country of Origin"]
["Alain Ducasse", "Chuao", "1061", "2013", "75%", "France", "2.5", "Trinitario", "Venezuela"]
["Alain Ducasse", "Piura, Perou", "1173", "2013", "75%", "France", "2.5", "Â\xa0", "Peru"]
["Alexandre", "Winak Coop, Napo", "1944", "2017", "70%", "Netherlands", "3.5", "Forastero (Nacional)", "Ecuador"]
["Alexandre", "La Dalia, Matagalpa", "1944", "2017", "70%", "Netherlands", "3.5", "Criollo, Trinitario", "Nicaragua"]
["Alexandre", "Tien Giang", "1944", "2017", "70%", "Netherlands", "3.5", "Trinitario", "Vietnam"]
["Alexandre", "Makwale Village, Kyela", "1944", "2017", "70%", "Netherlands", "3.5", "Forastero", "Tanzania"]
["Altus aka Cao Artisan", "Momotombo", "1728", "2016", "60%", "U.S.A.", "2.75", "Â\xa0", "Nicaragua"]
["Altus aka Cao Artisan", "Bolivia", "1133", "2013", "60%", "U.S.A.", "3", "Â\xa0", "Bolivia"]
["Altus aka Cao Artisan", "Peru", "1133", "2013", "60%", "U.S.A.", "3.25", "Â\xa0", "Peru"]
["Amano", "Morobe", "725", "2011", "70%", "U.S.A.", "4", "Â\xa0", "Papua New Guinea"]
["Amano", "Dos Rios", "470", "2010", "70%", "U.S.A.", "3.75", "Â\xa0", "Dominican Republic"]
["Amano", "Guayas", "470", "2010", "70%", "U.S.A.", "4", "Â\xa0", "Ecuador"]
["Amano", "Chuao", "544", "2010", "70%", "U.S.A.", "3", "Trinitario", "Venezuela"]
["Amano", "Montanya", "363", "2009", "70%", "U.S.A.", "3", "Â\xa0", "Venezuela"]
["Amano", "Bali, Jembrana", "304", "2008", "70%", "U.S.A.", "2.75", "Â\xa0", "Indonesia"]
["Amano", "Madagascar", "129", "2007", "70%", "U.S.A.", "3.5", "Trinitario", "Madagascar"]
["Amano", "Cuyagua", "147", "2007", "70%", "U.S.A.", "3", "Â\xa0", "Venezuela"]
["Amano", "Ocumare", "175", "2007", "70%", "U.S.A.", "3.75", "Criollo", "Venezuela"]
["Amatller (Simon Coll)", "Ghana", "322", "2009", "70%", "Spain", "3", "Forastero", "Ghana"]
["Amatller (Simon Coll)", "Ecuador", "327", "2009", "70%", "Spain", "2.75", "Â\xa0", "Ecuador"]
["Amatller (Simon Coll)", "Ecuador", "464", "2009", "85%", "Spain", "2.75", "Â\xa0", "Ecuador"]
["Amatller (Simon Coll)", "Ghana", "464", "2009", "85%", "Spain", "3", "Forastero", "Ghana"]
["Amazona", "LamasdelChanka, San Martin, Oro Verde coop", "1145", "2013", "72%", "Peru", "3.25", "Â\xa0", "Peru"]
["Ambrosia", "Venezuela", "1498", "2015", "70%", "Canada", "3.25", "Â\xa0", "Venezuela"]
["Ambrosia", "Peru", "1498", "2015", "68%", "Canada", "3.5", "Â\xa0", "Peru"]
["Amedei", "Piura, Blanco de Criollo", "979", "2012", "70%", "Italy", "3.75", "Â\xa0", "Peru"]
["Amedei", "Porcelana", "111", "2007", "70%", "Italy", "4", "Criollo (Porcelana)", "Venezuela"]
["Amedei", "Nine", "111", "2007", "75%", "Italy", "4", "Blend", "Â\xa0"]
["Amedei", "Chuao", "111", "2007", "70%", "Italy", "5", "Trinitario", "Venezuela"]
["Amedei", "Ecuador", "123", "2007", "70%", "Italy", "3", "Trinitario", "Ecuador"]
["Amedei", "Jamaica", "123", "2007", "70%", "Italy", "3", "Trinitario", "Jamaica"]
["Amedei", "Grenada", "123", "2007", "70%", "Italy", "3.5", "Trinitario", "Grenada"]
["Amedei", "Venezuela", "123", "2007", "70%", "Italy", "3.75", "Trinitario (85% Criollo)", "Venezuela"]
["Amedei", "Madagascar", "123", "2007", "70%", "Italy", "4", "Trinitario (85% Criollo)", "Madagascar"]
["Amedei", "Trinidad", "129", "2007", "70%", "Italy", "3.5", "Trinitario", "Trinidad"]
["Amedei", "Toscano Black", "170", "2007", "63%", "Italy", "3.5", "Blend", "Â\xa0"]
["Amedei", "Toscano Black", "40", "2006", "70%", "Italy", "5", "Blend", "Â\xa0"]
["Amedei", "Toscano Black", "75", "2006", "66%", "Italy", "4", "Blend", "Â\xa0"]
["AMMA", "Catongo", "1065", "2013", "75%", "Brazil", "3.25", "Forastero (Catongo)", "Brazil"]
["AMMA", "Monte Alegre, 3 diff. plantations", "572", "2010", "85%", "Brazil", "2.75", "Forastero (Parazinho)", "Brazil"]
["AMMA", "Monte Alegre, 3 diff. plantations", "572", "2010", "50%", "Brazil", "3.75", "Forastero (Parazinho)", "Brazil"]
["AMMA", "Monte Alegre, 3 diff. plantations", "572", "2010", "75%", "Brazil", "3.75", "Forastero (Parazinho)", "Brazil"]
["AMMA", "Monte Alegre, 3 diff. plantations", "572", "2010", "60%", "Brazil", "4", "Forastero (Parazinho)", "Brazil"]
["Anahata", "Elvesia", "1259", "2014", "75%", "U.S.A.", "3", "Â\xa0", "Dominican Republic"]
["Animas", "Alto Beni", "1852", "2016", "75%", "U.S.A.", "3.5", "Â\xa0", "Bolivia"]
["Ara", "Madagascar", "1375", "2014", "75%", "France", "3", "Trinitario", "Madagascar"]
["Ara", "Chiapas", "1379", "2014", "72%", "France", "2.5", "Â\xa0", "Mexico"]
["Arete", "Camino Verde", "1602", "2015", "75%", "U.S.A.", "3.5", "Â\xa0", "Ecuador"]
["Artisan du Chocolat", "Congo", "300", "2008", "72%", "U.K.", "3.75", "Forastero", "Congo"]
["Artisan du Chocolat (Casa Luker)", "Orinoqua Region, Arauca", "1181", "2013", "72%", "U.K.", "2.75", "Trinitario", "Colombia"]
["Askinosie", "Mababa", "1780", "2016", "68%", "U.S.A.", "3.75", "Trinitario", "Tanzania"]
["Askinosie", "Tenende, Uwate", "647", "2011", "72%", "U.S.A.", "3.75", "Trinitario", "Tanzania"]
["Askinosie", "Cortes", "661", "2011", "70%", "U.S.A.", "3.75", "Trinitario", "Honduras"]
["Askinosie", "Davao", "331", "2009", "77%", "U.S.A.", "3.75", "Trinitario", "Philippines"]
["Askinosie", "Xoconusco", "141", "2007", "75%", "U.S.A.", "2.5", "Trinitario", "Mexico"]
["Askinosie", "San Jose del Tambo", "175", "2007", "70%", "U.S.A.", "3", "Forastero (Arriba)", "Ecuador"]
["Bahen & Co.", "Houseblend", "999", "2012", "70%", "Australia", "2.5", "Blend", "Â\xa0"]
["Bakau", "Bambamarca, 2015", "1454", "2015", "70%", "Peru", "2.75", "Â\xa0", "Peru"]
["Bakau", "Huallabamba, 2015", "1454", "2015", "70%", "Peru", "3.5", "Â\xa0", "Peru"]
["Bar Au Chocolat", "Bahia", "1554", "2015", "70%", "U.S.A.", "3.5", "Â\xa0", "Brazil"]
["Bar Au Chocolat", "Maranon Canyon", "1295", "2014", "70%", "U.S.A.", "4", "Forastero (Nacional)", "Peru"]
["Bar Au Chocolat", "Duarte Province", "983", "2012", "70%", "U.S.A.", "3.25", "Â\xa0", "Dominican Republic"]
["Bar Au Chocolat", "Chiapas", "983", "2012", "70%", "U.S.A.", "3.5", "Â\xa0", "Mexico"]
["Bar Au Chocolat", "Sambirano", "983", "2012", "70%", "U.S.A.", "3.75", "Trinitario", "Madagascar"]
["Baravelli"s", "single estate", "955", "2012", "80%", "Wales", "2.75", "Â\xa0", "Costa Rica"]
["Batch", "Dominican Republic, Batch 3", "1840", "2016", "65%", "U.S.A.", "3.5", "Â\xa0", "Domincan Republic"]
["Batch", "Brazil", "1868", "2016", "70%", "U.S.A.", "3.75", "Â\xa0", "Brazil"]
["Batch", "Ecuador", "1880", "2016", "65%", "U.S.A.", "3.25", "Â\xa0", "Ecuador"]
["Beau Cacao", "Asajaya E, NW Borneo, b. #132/4500", "1948", "2017", "73%", "U.K.", "3", "Â\xa0", "Malaysia"]
["Beau Cacao", "Serian E., NW Borneo, b. #134/3800", "1948", "2017", "72%", "U.K.", "3.25", "Â\xa0", "Malaysia"]
["Beehive", "Brazil, Batch 20316", "1784", "2016", "80%", "U.S.A.", "2.75", "Â\xa0", "Brazil"]
["Beehive", "Dominican Republic, Batch 31616", "1784", "2016", "70%", "U.S.A.", "2.75", "Â\xa0", "Domincan Republic"]
["Beehive", "Ecuador, Batch 31516", "1784", "2016", "70%", "U.S.A.", "2.75", "Â\xa0", "Ecuador"]
["Beehive", "Ecuador", "1788", "2016", "90%", "U.S.A.", "2.75", "Â\xa0", "Ecuador"]
["Belcolade", "Costa Rica", "586", "2010", "64%", "Belgium", "2.75", "Â\xa0", "Costa Rica"]
["Belcolade", "Papua New Guinea", "586", "2010", "64%", "Belgium", "2.75", "Â\xa0", "Papua New Guinea"]
["Belcolade", "Peru", "586", "2010", "64%", "Belgium", "2.75", "Â\xa0", "Peru"]
["Belcolade", "Ecuador", "586", "2010", "71%", "Belgium", "3.5", "Â\xa0", "Ecuador"]
["Bellflower", "Kakao Kamili, Kilombero Valley", "1800", "2016", "70%", "U.S.A.", "3.5", "Criollo, Trinitario", "Tanzania"]
["Bellflower", "Alto Beni, Palos Blanco", "1804", "2016", "70%", "U.S.A.", "3.25", "Â\xa0", "Bolivia"]
["Vintage Plantations (Tulicorp)", "Los Rios, Rancho Grande 2007", "153", "2007", "65%", "U.S.A.", "3", "Forastero (Arriba)", "Ecuador"]
["Violet Sky", "Sambirano Valley", "1458", "2015", "77%", "U.S.A.", "2.75", "Trinitario", "Madagascar"]
["Wm", "Wild Beniano, 2016, batch 128, Heirloom", "1912", "2016", "76%", "U.S.A.", "3.5", "Â\xa0", "Bolivia"]
["Wm", "Ghana, 2013, batch 129", "1916", "2016", "75%", "U.S.A.", "3.75", "Â\xa0", "Ghana"]
["Woodblock", "La Red", "769", "2011", "70%", "U.S.A.", "3.5", "Â\xa0", "Dominican Republic"]
["Xocolat", "Hispaniola", "1057", "2013", "66%", "Domincan Republic", "3", "Â\xa0", "Dominican Republic"]
["Xocolla", "Sambirano, batch 170102", "1948", "2017", "70%", "U.S.A.", "2.75", "Â\xa0", "Madagascar"]
["Xocolla", "Hispaniola, batch 170104", "1948", "2017", "70%", "U.S.A.", "2.5", "Â\xa0", "Dominican Republic"]
["Zart Pralinen", "UNOCACE", "1824", "2016", "70%", "Austria", "2.75", "Nacional (Arriba)", "Ecuador"]
["Zart Pralinen", "San Juan Estate", "1824", "2016", "85%", "Austria", "2.75", "Trinitario", "Trinidad"]
["Zokoko", "Guadalcanal", "1716", "2016", "78%", "Australia", "3.75", "Â\xa0", "Solomon Islands"]
